2023-12-18 17:05:05.423 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:07:26.119 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:08:21.063 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:13:27.353 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:20:26.537 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:21:00.467 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:21:58.148 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:27:20.389 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:31:18.499 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 17:39:18.274 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 18:54:30.440 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 18:57:26.414 INFO | [Thread-7 (process_request_thread)] chat [84] | git.py webhook | 项目id: 130394，分支: main，commit_id: ['076dd4daeaad937731503efcbd7029c28e4b8286'] 
2023-12-18 18:57:26.414 INFO | [Thread-7 (process_request_thread)] chat [86] | git.py webhook | 项目id: 130394，commit_url: ['https://git.n.xiaomi.com/dasen/shell_script/-/commit/076dd4daeaad937731503efcbd7029c28e4b8286']
2023-12-18 18:57:26.414 INFO | [Thread-7 (process_request_thread)] chat [105] | git.py webhook | 项目id: 130394，commit_id: ['076dd4daeaad937731503efcbd7029c28e4b8286'] 开始进行ChatGPT代码补丁审查
2023-12-18 18:57:26.415 INFO | [Thread-7 (process_request_thread)] chat [98] | chat_review.py review_code | 开始请求gitlab的https://git.n.xiaomi.com/api/v4/projects/130394/repository/commits/076dd4daeaad937731503efcbd7029c28e4b8286/diff   ,commit: 076dd4daeaad937731503efcbd7029c28e4b8286的diff内容
2023-12-18 19:01:25.833 INFO | [MainThread] chat [43] | app.py <module> | Starting the app...
2023-12-18 19:01:35.462 INFO | [Thread-1 (process_request_thread)] chat [84] | git.py webhook | 项目id: 130394，分支: main，commit_id: ['5f7b24c54ff2fed89dc7985ad395c0dec5997e3e'] 
2023-12-18 19:01:35.462 INFO | [Thread-1 (process_request_thread)] chat [86] | git.py webhook | 项目id: 130394，commit_url: ['https://git.n.xiaomi.com/dasen/shell_script/-/commit/5f7b24c54ff2fed89dc7985ad395c0dec5997e3e']
